"model","archetype","rank","gene","score","abs_score"
"A6","A1",62,"TAGLN2",-1.07018577429881,1.07018577429881
"A6","A1",63,"MYL12A",-1.06628175955122,1.06628175955122
"A6","A1",64,"CALM1",-1.05252679209063,1.05252679209063
"A6","A1",65,"CA9",-1.04960617358839,1.04960617358839
"A6","A1",66,"PGK1",-1.03329555896909,1.03329555896909
"A6","A1",67,"CYP51A1",-1.03263407236306,1.03263407236306
"A6","A1",68,"HSP90AA1",-1.03214980520104,1.03214980520104
"A6","A1",69,"LCN2",-1.02944414951135,1.02944414951135
"A6","A1",70,"TFF1",-1.0270192116204,1.0270192116204
"A6","A1",71,"EIF4A1",-1.02625366709967,1.02625366709967
"A6","A1",72,"HSPA5",-1.02521683818339,1.02521683818339
"A6","A1",73,"VDAC2",-1.01407404856649,1.01407404856649
"A6","A1",74,"PRDX6",-1.01016505384967,1.01016505384967
"A6","A1",75,"IL32",-1.00699640554264,1.00699640554264
"A6","A1",76,"CLDN3",-0.997807258414037,0.997807258414037
"A6","A1",77,"BNIP3",-0.980186874720841,0.980186874720841
"A6","A1",78,"CD9",-0.969332378156556,0.969332378156556
"A6","A1",79,"H2AZ1",-0.963767958271402,0.963767958271402
"A6","A1",80,"RAN",-0.95555108758145,0.95555108758145
"A6","A1",81,"ARL6IP1",-0.943086827297539,0.943086827297539
"A6","A1",82,"LDHB",-0.938331343177482,0.938331343177482
"A6","A1",83,"CALM2",-0.928324577844791,0.928324577844791
"A6","A1",84,"KLK10",-0.911393739409425,0.911393739409425
"A6","A1",85,"CLDN7",-0.909059072740171,0.909059072740171
"A6","A1",86,"HSPE1",-0.907396136188033,0.907396136188033
"A6","A1",87,"IER3",-0.905191081139587,0.905191081139587
"A6","A1",88,"PSME2",-0.890506205009046,0.890506205009046
"A6","A1",89,"ADIRF",-0.883787159597903,0.883787159597903
"A6","A1",90,"GSTM3",-0.870359190410747,0.870359190410747
"A6","A1",91,"NCL",-0.869106351711591,0.869106351711591
"A6","A1",92,"C15orf48",-0.859181820448212,0.859181820448212
"A6","A1",93,"RHOC",-0.850759133258699,0.850759133258699
"A6","A1",94,"MGAT5",0.849853782332081,0.849853782332081
"A6","A1",95,"PTTG1IP",-0.848124854307366,0.848124854307366
"A6","A1",96,"MYDGF",-0.847866725077658,0.847866725077658
"A6","A1",97,"GSTO1",-0.843828284252801,0.843828284252801
"A6","A1",98,"GPX2",-0.835090855603416,0.835090855603416
"A6","A1",99,"PGAM1",-0.821689726915141,0.821689726915141
"A6","A1",100,"LMAN1",-0.819186332459424,0.819186332459424
"A6","A2",1,"TFF3",2.05118070793982,2.05118070793982
"A6","A2",2,"MT1X",1.96576377352301,1.96576377352301
"A6","A2",3,"FABP1",1.8924477132169,1.8924477132169
"A6","A2",4,"ENSG00000289474",1.6369182847351,1.6369182847351
"A6","A2",5,"TFF1",1.18739607903298,1.18739607903298
"A6","A2",6,"FXYD3",1.1713407388242,1.1713407388242
"A6","A2",7,"PHGR1",1.09121736729635,1.09121736729635
"A6","A2",8,"TFF2",0.858777695282857,0.858777695282857
"A6","A2",9,"SMOC2",-0.814496350227221,0.814496350227221
"A6","A2",10,"ETS2",-0.805634615077521,0.805634615077521
"A6","A2",11,"NCL",-0.781857228169624,0.781857228169624
"A6","A2",12,"SLC12A2",-0.76086137319081,0.76086137319081
"A6","A2",13,"NEAT1",0.746851692872453,0.746851692872453
"A6","A2",14,"MECOM",-0.744465216609577,0.744465216609577
"A6","A2",15,"SYNE2",-0.72517392955925,0.72517392955925
"A6","A2",16,"PRSS2",0.724160885966686,0.724160885966686
"A6","A2",17,"HSP90AA1",-0.722072451629864,0.722072451629864
"A6","A2",18,"S100A10",0.705283868939742,0.705283868939742
"A6","A2",19,"HNRNPA1",-0.69595772284346,0.69595772284346
"A6","A2",20,"DDX5",-0.682789419717204,0.682789419717204
"A6","A2",21,"ANKRD37",0.649758194569455,0.649758194569455
"A6","A2",22,"KRT7",0.644623120302024,0.644623120302024
"A6","A2",23,"DSP",-0.643098605303181,0.643098605303181
"A6","A2",24,"TUBB4B",-0.634143740512968,0.634143740512968
"A6","A2",25,"HNRNPA2B1",-0.624757642615776,0.624757642615776
"A6","A2",26,"ARID5B",-0.616137494060985,0.616137494060985
"A6","A2",27,"CERS6",-0.608830735025245,0.608830735025245
"A6","A2",28,"HMGB1",-0.600731073027583,0.600731073027583
"A6","A2",29,"CDK6",-0.598972804911269,0.598972804911269
"A6","A2",30,"APBB2",-0.596935751447062,0.596935751447062
"A6","A2",31,"EIF4A1",-0.596386121708504,0.596386121708504
"A6","A2",32,"HNRNPD",-0.595246403426669,0.595246403426669
"A6","A2",33,"CD9",-0.594986050548852,0.594986050548852
"A6","A2",34,"TUBA1B",-0.59310497210145,0.59310497210145
"A6","A2",35,"GMDS-DT",-0.591052082181965,0.591052082181965
"A6","A2",36,"HSPD1",-0.588594403381135,0.588594403381135
"A6","A2",37,"GPHN",-0.580469452101152,0.580469452101152
"A6","A2",38,"TMSB4X",0.580218425566445,0.580218425566445
"A6","A2",39,"HILPDA",0.57199572773458,0.57199572773458
"A6","A2",40,"GSTM3",-0.56923771548097,0.56923771548097
"A6","A2",41,"PABPC1",-0.56325266028645,0.56325266028645
"A6","A2",42,"YWHAB",-0.561113019233842,0.561113019233842
"A6","A2",43,"RAN",-0.557277141552717,0.557277141552717
"A6","A2",44,"SOX4",-0.556209305466182,0.556209305466182
"A6","A2",45,"AKR1C3",-0.553635661048292,0.553635661048292
"A6","A2",46,"RNF43",-0.54989797468256,0.54989797468256
"A6","A2",47,"DACH1",-0.548872931342656,0.548872931342656
"A6","A2",48,"ADIRF",0.546617225893314,0.546617225893314
"A6","A2",49,"PGAM1",-0.545377279101334,0.545377279101334
"A6","A2",50,"SFPQ",-0.544767675517774,0.544767675517774
"A6","A2",51,"HSPA8",-0.540929787704647,0.540929787704647
"A6","A2",52,"CLDN2",-0.534204639810656,0.534204639810656
"A6","A2",53,"ITPR2",-0.529164613669583,0.529164613669583
"A6","A2",54,"TSPAN8",-0.527962539049012,0.527962539049012
"A6","A2",55,"SLC25A3",-0.526306684072999,0.526306684072999
