"model","archetype","rank","gene","score","abs_score"
"A5","A1",1,"LYZ",-1.98577857392038,1.98577857392038
"A5","A1",2,"GAPDH",-1.97588981494167,1.97588981494167
"A5","A1",3,"FTH1",-1.88899026111252,1.88899026111252
"A5","A1",4,"LGALS4",-1.87226129911349,1.87226129911349
"A5","A1",5,"S100A10",-1.85544097551018,1.85544097551018
"A5","A1",6,"PPIA",-1.80803901406823,1.80803901406823
"A5","A1",7,"ACTG1",-1.79995477361326,1.79995477361326
"A5","A1",8,"ACTB",-1.76147483562299,1.76147483562299
"A5","A1",9,"TMSB4X",-1.70719151125297,1.70719151125297
"A5","A1",10,"ENSG00000289474",1.6814158722832,1.6814158722832
"A5","A1",11,"KRT18",-1.67315171796804,1.67315171796804
"A5","A1",12,"TSPAN8",-1.66989093935055,1.66989093935055
"A5","A1",13,"RACK1",-1.65650394210581,1.65650394210581
"A5","A1",14,"AGR2",-1.65159443340885,1.65159443340885
"A5","A1",15,"B2M",-1.65028501808168,1.65028501808168
"A5","A1",16,"NEAT1",1.64336269012501,1.64336269012501
"A5","A1",17,"LDHA",-1.63705004147204,1.63705004147204
"A5","A1",18,"FABP1",-1.61952863948603,1.61952863948603
"A5","A1",19,"FTL",-1.61629161304514,1.61629161304514
"A5","A1",20,"SERPINB1",-1.5985114974178,1.5985114974178
"A5","A1",21,"S100A14",-1.58273998135898,1.58273998135898
"A5","A1",22,"KRT8",-1.58270305261396,1.58270305261396
"A5","A1",23,"YBX1",-1.57991982286917,1.57991982286917
"A5","A1",24,"LGALS3",-1.57721506857368,1.57721506857368
"A5","A1",25,"NPM1",-1.5524200304484,1.5524200304484
"A5","A1",26,"MYL12B",-1.52381196980248,1.52381196980248
"A5","A1",27,"HSP90AB1",-1.48256751003101,1.48256751003101
"A5","A1",28,"KRT19",-1.47246171866479,1.47246171866479
"A5","A1",29,"FXYD3",-1.4388399721017,1.4388399721017
"A5","A1",30,"HNRNPA1",-1.42712661024311,1.42712661024311
"A5","A1",31,"CFL1",-1.39795085584127,1.39795085584127
"A5","A1",32,"MT1X",-1.31859295815057,1.31859295815057
"A5","A1",33,"ANXA2",-1.29754814262812,1.29754814262812
"A5","A1",34,"SNHG29",-1.29372915606293,1.29372915606293
"A5","A1",35,"HSPD1",-1.28898244085217,1.28898244085217
"A5","A1",36,"ATP5MC3",-1.27779655205276,1.27779655205276
"A5","A1",37,"HSP90B1",-1.2487309499854,1.2487309499854
"A5","A1",38,"SPINT2",-1.24619334975301,1.24619334975301
"A5","A1",39,"PGK1",-1.23852505018504,1.23852505018504
"A5","A1",40,"ITM2B",-1.20939620979512,1.20939620979512
"A5","A1",41,"IGFBP2",-1.20862846114519,1.20862846114519
"A5","A1",42,"SLC25A5",-1.20025823429989,1.20025823429989
"A5","A1",43,"H3-3B",-1.19718744589207,1.19718744589207
"A5","A1",44,"HLA-B",-1.19096157488374,1.19096157488374
"A5","A1",45,"NAP1L1",-1.17437642790891,1.17437642790891
"A5","A1",46,"CA9",-1.17344780844913,1.17344780844913
"A5","A1",47,"CYP51A1",-1.17312844460086,1.17312844460086
"A5","A1",48,"EPCAM",-1.15839566569476,1.15839566569476
"A5","A1",49,"BNIP3",-1.14079695855002,1.14079695855002
"A5","A1",50,"TAGLN2",-1.11415174240997,1.11415174240997
"A5","A1",51,"HLA-A",-1.11069636533701,1.11069636533701
"A5","A1",52,"SAT1",-1.10024622821069,1.10024622821069
"A5","A1",53,"MLEC",-1.09710338194611,1.09710338194611
"A5","A1",54,"PHGR1",-1.08295570950918,1.08295570950918
"A5","A1",55,"OLFM4",-1.08113056082154,1.08113056082154
"A5","A1",56,"SLC25A3",-1.07764786043765,1.07764786043765
"A5","A1",57,"PRDX1",-1.07754829450709,1.07754829450709
"A5","A1",58,"HLA-C",-1.06648990620543,1.06648990620543
"A5","A1",59,"HMGB1",-1.05717788079433,1.05717788079433
"A5","A1",60,"REG4",-1.05540852724245,1.05540852724245
"A5","A1",61,"KLK7",-1.05313086001565,1.05313086001565
"A5","A1",62,"PERP",-1.05086334504793,1.05086334504793
